# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
සැපය	sæpəjə
සැපයක්	sæpəjak
සැපයට	sæpəjəʈə
සැපයි	sæpaj
සැපයිය	sæpəijə
සැපයීම	sæpəiːmə
සැපයීමට	sæpəiːməʈə
සැපයීමයි	sæpəjiːmaj
සැපයීමේ	sæpəiːmeː
සැපයීමේ	sæpəjiːmeː
සැපයුම	sæpəjumə
සැපයුම්	sæpəjum
සැපයුවේ	sæpəjuweː
සැපයූ	sæpəjuː
සැපයෙන	sæpəjenə
සැපයේ	sæpəjeː
සැපවත්	sæpəwat
සැපසේ	sæpəseː
සැපෙන්	sæpen
සැප්	sæp
සැප්තැම්බර්	sæptæmbər
සැබවි	sæbəwi
සැබවින්	sæbəwin
සැබවින්ම	sæbəwinmə
සැබැවින්	sæbæwin
සැබැවින්ම	sæbæwinmə
සැබෑ	sæbæː
සැබෑකර	sæbæːkərə
සැබෑම	sæbæːmə
සැබෑය	sæbæːjə
සැබෑයි	sæbæːj
සැබෑව	sæbæːwə
සැබෑවකි	sæbæːwəki
සැබෑවක්	sæbæːwak
සැබෑවක්මය	sæbæːwakməjə
සැබෑවට	sæbæːwəʈə
සැබෑවටම	sæbæːwəʈəmə
සැම	sæmə
සැමගෙන්	sæməɡen
සැමගේ	sæməɡeː
සැමට	sæməʈə
සැමටත්	sæməʈat
සැමටම	sæməʈəmə
සැමදා	sæmədaː
සැමදාම	sæmədaːmə
සැමදාමත්	sæmədaːmat
සැමන්	sæmən
සැමරිය	sæmərijə
සැමරීම	sæməriːmə
සැමරීමට	sæməriːməʈə
සැමරීමේ	sæməriːmeː
සැමරුම	sæmərumə
සැමරුම්	sæmərum
සැමරුවේ	sæməruweː
සැමවිට	sæməwiʈə
සැමවිටම	sæməwiʈəmə
සැමි	sæmi
සැමියන්	sæmijan
සැමියා	sæmijaː
සැමියාගෙන්	sæmijaːɡen
සැමියාගේ	sæmijaːɡeː
සැමියාට	sæmijaːʈə
සැමියාත්	sæmijaːt
සැමියෙකු	sæmijeku
සැමියෙක්	sæmijek
සැමියෝ	sæmijoː
සැමී	sæmiː
සැමීගේ	sæmiːɡeː
සැමුවෙල්	sæmuwel
සැම්සන්	sæmsən
සැර	særə
සැරට	særəʈə
සැරය	særəjə
සැරයක්	særəjak
සැරයක්ම	særəjakmə
සැරයටියේ	særəjaʈijeː
සැරයන්	særəjən
සැරයි	særaj
සැරසිය	særəsijə
සැරසිලි	særəsili
සැරසී	særəsiː
සැරසුණු	særəsunu
සැරසෙන	særəsenə
සැරසෙනවා	særəsenəwa
සැරසෙන්නේ	særəsenne
සැරසෙයි	særəsej
සැරසේ	særəseː
සැරි	særi
සැරින්	særin
සැරියුත්	særijut
සැරිසරන	særisarənə
සැරිසරනවා	særisarənəwa
සැරිසරන්නේ	særisaranne
සැරිසරමින්	særisarəmin
සැරිසරා	særisaraː
සැරෙත්	særet
සැරෙන්	særen
සැරේ	særeː
සැරේට	særeːʈə
සැල	sælə
සැලකිය	sæləkijə
සැලකියයුතු	sæləkijəjutu
සැලකිලි	sæləkili
සැලකිලිමත්	sæləkilimat
සැලකිල්ල	sæləkillə
සැලකිල්ලක්	sæləkillak
සැලකිල්ලට	sæləkilləʈə
සැලකිල්ලෙන්	sæləkillen
සැලකීම	sæləkiːmə
සැලකීමක්	sæləkiːmak
සැලකීමට	sæləkiːməʈə
සැලකීමේදී	sæləkiːmeːdiː
සැලකීමේදී	sæləkiːmedi
සැලකුම්	sæləkum
සැලකුව	sæləkuwa
සැලකුවත්	sæləkuwat
සැලකුවා	sæləkuwa
සැලකුවේ	sæləkuweː
සැලකූ	sæləkuː
සැලකූහ	sæləkuːhə
සැලකෙන	sæləkenə
සැලකෙනවා	sæləkenəwa
සැලකෙන්නේ	sæləkenneː
සැලකෙයි	sæləkej
සැලකේ	sæləkeː
සැලඩ්	sæləɖ
සැලසී	sæləsiː
සැලසීම	sæləsiːmə
සැලසීමට	sæləsiːməʈə
සැලසුම	sæləsumə
සැලසුමක්	sæləsumak
සැලසුමට	sæləsuməʈə
සැලසුම්	sæləsum
සැලසුම්කර	sæləsumkərə
සැලසෙන	sæləsenə
සැලසෙනවා	sæləsenəwa
සැලසෙනු	sæləsenu
සැලසෙයි	sæləsej
සැලසේ	sæləseː
සැලැසුම්	sælæsum
සැලැස්	sælæs
සැලැස්ම	sælæsmə
සැලැස්මකට	sælæsməkəʈə
සැලැස්මක්	sælæsmak
සැලැස්වීම	sælæswiːmə
සැලෙන	sælenə
සැලෙන්න	sælennə
සැලෙන්නේ	sælenne
සැලෝන්	sæloːn
සැල්	sæl
සැවැත්නුවර	sæwætnuwərə
සැවොම	sæwomə
සැවෝයි	sæwoːj
සැසඳිය	sæsəⁿdijə
සැසඳීම	sæsəⁿdiːmə
සැසඳීමට	sæsəⁿdiːməʈə
සැසඳීමේ	sæsəⁿdiːmeː
සැසඳීමේදී	sæsəⁿdiːmeːdi
සැසඳෙන	sæsəⁿdenə
සැහැල්ලු	sæhællu
සැහැල්ලුව	sæhælluwə
සැහැල්ලුවකින්	sæhælluwəkin
සැහැල්ලුවෙන්	sæhælluwen
සැහැල්ලූ	sæhællu
සැහැල්ලූවෙන්	sæhælluwen
සැහැසි	sæhæsi
සැහෙන	sæhenə
සැහෙන්න	sæhennə
සැළකිය	sæləkijə
සැළකිලිමත්	sæləkilimat
සැළකෙන	sæləkenə
සැළකේ	sæləkeː
සැළලිහිණි	sæləlihini
සැළසුම්	sæləsum
සැළසෙනු	sæləsenu
සැෆයාර්	sæfəjaː
සෑ	sæː
සෑදි	sæːdi
සෑදිය	sæːdijə
සෑදී	sæːdiː
සෑදීම	sæːdiːmə
සෑදීමට	sæːdiːməʈə
සෑදීමේ	sæːdiːmeː
සෑදීමේදී	sæːdiːmeːdiː
සෑදු	sæːdu
සෑදුණු	sæːdunu
සෑදුන	sæːdunə
සෑදුනු	sæːdunu
සෑදුවේ	sæːduwe
සෑදූ	sæːduː
සෑදෙන	sæːdenə
සෑදෙන්නේ	sæːdenne
සෑදේ	sæːdeː
සෑන්ඩ්	sæːnɖ
සෑපක්	sæːpak
සෑම	sæːmə
සෑමට	sæːməʈə
සෑමදෙයක්ම	sæːmədejakmə
සෑමදේම	sæːmədeːmə
සෑමවිටම	sæːməwiʈəmə
සෑම්	sæːm
සෑම්ගෙයි	sæːmɡej
සෑම්ගේ	sæːmɡe
සෑම්ට	sæːmʈə
සෑම්ටයි	sæːmʈaj
සෑම්නුයි	sæːmnui
සෑම්ව	sæːmwə
සෑය	sæːjə
සෑයක්	sæːjak
සෑයට	sæːjəʈə
සෑයෙ	sæːje
සෑයෙන්	sæːjen
සෑයේ	sæːjeː
සෑරේ	sæːre
සෑර්	sæːr
සෑවොම	sæːwomə
සෑහිමකට	sæːhiməkəʈə
සෑහීමකට	sæːhiːməkəʈə
සෑහීමට	sæːhiːməʈə
සෑහෙන	sæːhenə
සෑහෙන්	sæːhen
සෑහෙන්ඩ	sæːhenɖə
සෑහෙන්න	sæːhennə
සෑහේ	sæːheː
සි	si
සිං	siŋ
සිංගප්පුරු	siŋɡappuru
සිංගප්පුරුව	siŋɡappuruwə
සිංගප්පුරුවේ	siŋɡappuruwe
සිංගප්පූරු	siŋɡappuːru
සිංගප්පූරුව	siŋɡappuːruwə
සිංගප්පූරුවට	siŋɡappuːruwəʈə
සිංගප්පූරුවෙ	siŋɡappuːruwe
සිංගප්පූරුවෙන්	siŋɡappuːruwen
සිංගප්පූරුවේ	siŋɡappuːruwe
සිංගල	siŋɡələ
සිංග්පූර්	siŋɡpuːr
සිංඤෝ	siŋɲoː
සිංදු	siŋdu
සිංදුව	siŋduwə
සිංදුවක්	siŋduwak
සිංදුවට	siŋduwəʈə
සිංදුවේ	siŋduweː
සිංහ	siŋhə
සිංහබාහු	siŋhəbaːhu
සිංහයන්	siŋhəjan
සිංහයා	siŋhəjaː
සිංහයාගේ	siŋhəjaːɡeː
සිංහයෙක්	siŋhəjek
සිංහයෙක්ගේ	siŋhəjekɡe
සිංහයෝ	siŋhəjoː
සිංහරාජ	siŋhəraːɟə
සිංහරාජය	siŋhəraːɟəjə
සිංහරාජයේ	siŋhəraːɟəje
සිංහල	siŋhələ
සිංහලකම	siŋhələkamə
සිංහලට	siŋhələʈə
සිංහලත්	siŋhəlat
සිංහලද	siŋhələdə
සිංහලය	siŋhələjə
සිංහලයකු	siŋhələjəku
සිංහලයගෙ	siŋhələjaɡe
සිංහලයගේ	siŋhələjaɡe
සිංහලයට	siŋhələjəʈə
සිංහලයනි	siŋhələjəni
සිංහලයන්	siŋhələjan
සිංහලයන්ගෙ	siŋhələjanɡe
සිංහලයන්ගෙන්	siŋhələjanɡen
සිංහලයන්ගේ	siŋhələjanɡeː
සිංහලයන්ට	siŋhələjanʈə
සිංහලයන්ය	siŋhələjanjə
සිංහලයා	siŋhələja
සිංහලයාගේ	siŋhələjaːɡe
සිංහලයාට	siŋhələjaːʈə
සිංහලයින්	siŋhələin
සිංහලයින්ගේ	siŋhələinɡeː
සිංහලයින්ට	siŋhələinʈə
සිංහලයෙකු	siŋhələjeku
සිංහලයෙක්	siŋhələjek
සිංහලයෙන්	siŋhələjen
සිංහලයේ	siŋhələjeː
සිංහලයො	siŋhələjo
සිංහලයෝ	siŋhələjoː
සිංහලු	siŋhəlu
සිංහලුන්	siŋhəlun
සිංහලුන්ට	siŋhəlunʈə
සිංහලෙන්	siŋhəlen
සිංහලෙන්ම	siŋhəlenmə
සිංහලේ	siŋhəleː
සිංහළ	siŋhələ
සිංහාසන	siŋhaːsənə
සිංහාසනය	siŋhaːsənəjə
සිංහාසනයට	siŋhaːsənəjəʈə
සිංහාසනයේ	siŋhaːsənəje
සිංහාසනාරූඪ	siŋhaːsənaːruːɖə
සිකියුරිටි	sikijuriʈi
සිකුරාදා	sikuraːda
සිකුරාදාට	sikuraːdaːʈə
සිකුරාදාද	sikuraːdaːdə
සිකුරු	sikuru
සිකුරුගේ	sikuruɡe
සිකුරුට	sikuruʈə
සිකුරුය	sikurujə
සිකුරුයි	sikurui
සික්	sik
සික්ඛා	sikkaː
සික්ස්	siks
සිගරට්	siɡəraʈ
සිගරැට්	siɡəræʈ
සිගාලෝවාද	siɡaːloːwaːdə
සිග්නල්	siɡnəl
සිග්මන්	siɡmən
සිග්මා	siɡmaː
සිඟා	siᵑɡaː
සිඟාලෝවාද	siᵑɡaːloːwaːdə
සිඟිති	siᵑɡiti
සිඟිත්තාට	siᵑɡittaːʈə
සිඟිත්තිය	siᵑɡittijə
සිඤ්ඤෝ	siɲɲoː
සිට	siʈə
සිටගෙන	siʈəɡenə
සිටද	siʈədə
සිටම	siʈəmə
සිටය	siʈəjə
සිටයි	siʈaj
සිටවපු	siʈəwəpu
සිටි	siʈi
සිටිති	siʈiti
සිටිතියි	siʈitij
සිටිත්	siʈit
සිටිත්ද	siʈitdə
සිටිද්දී	siʈiddiː
සිටින	siʈinə
සිටිනව	siʈinəwa
සිටිනවා	siʈinəwa
සිටිනවාද	siʈinəwaːdə
සිටිනා	siʈinaː
සිටිනු	siʈinu
සිටිනුයේ	siʈinujeː
සිටින්න	siʈinnə
සිටින්නට	siʈinnəʈə
සිටින්නන්	siʈinnan
සිටින්නා	siʈinnaː
සිටින්නීය	siʈinniːjə
සිටින්නෙ	siʈinne
සිටින්නෙකි	siʈinneki
සිටින්නෙක්	siʈinnek
සිටින්නෙමු	siʈinnemu
සිටින්නේ	siʈinneː
සිටින්නේද	siʈinneːdə
සිටින්නේය	siʈinneːjə
සිටිම	siʈimə
සිටිමි	siʈimi
සිටිමින්	siʈimin
සිටිමු	siʈimu
සිටිය	siʈijə
සිටියත්	siʈijat
සිටියද	siʈijədə
සිටියදී	siʈijədiː
සිටියදීත්	siʈijədiːt
සිටියදීම	siʈijədiːmə
සිටියදීය	siʈijədiːjə
සිටියවුන්	siʈijəun
සිටියහ	siʈijəhə
සිටියහොත්	siʈijəhot
සිටියා	siʈija
සිටියාට	siʈijaːʈə
සිටියාද	siʈijaːdə
සිටියානම්	siʈijaːnam
සිටියාය	siʈijaːjə
සිටියාහුය	siʈijaːhujə
සිටියි	siʈiː
සිටියිද	siʈiːdə
සිටියෙ	siʈije
සිටියෙමි	siʈijemi
සිටියෙමු	siʈijemu
සිටියේ	siʈijeː
සිටියේද	siʈijeːdə
සිටියේය	siʈijeːjə
සිටියොත්	siʈijot
සිටියෝ	siʈijoː
සිටියෝය	siʈijoːjə
සිටිවිට	siʈiwiʈə
සිටිසන්	siʈisən
සිටී	siʈiː
සිටීද	siʈiːdə
සිටීනම්	siʈiːnam
සිටීම	siʈiːmə
සිටීමට	siʈiːməʈə
සිටීමටද	siʈiːməʈədə
සිටීමත්	siʈiːmat
සිටීමද	siʈiːmədə
සිටීමය	siʈiːməjə
සිටීමයි	siʈiːmaj
සිටීමෙන්	siʈiːmen
සිටීමේ	siʈiːme
සිටු	siʈu
සිටුතුමා	siʈutumaː
සිටුතුමාට	siʈutumaːʈə
සිටුවන්න	siʈuwannə
සිටුවයි	siʈuwaj
සිටුවා	siʈuwaː
සිටුවීම	siʈuwiːmə
සිටුවීමට	siʈuwiːməʈə
සිටුවේෂන්	siʈuweːʃən
සිඩ්නි	siɖni
සිත	sitə
සිතක	sitəkə
සිතකින්	sitəkin
සිතක්	sitak
සිතට	sitəʈə
සිතති	sitəti
සිතත්	sitat
සිතද	sitədə
සිතන	sitənə
සිතනවා	sitənəwa
සිතනවාද	sitənəwaːdə
සිතනා	sitənaː
සිතනු	sitənu
සිතනුයේ	sitənujeː
සිතන්න	sitannə
සිතන්නට	sitannəʈə
සිතන්නේ	sitanneː
සිතමි	sitəmi
සිතමින්	sitəmin
සිතමු	sitəmu
සිතයි	sitaj
සිතා	sitaː
සිතාගත	sitaːɡatə
සිතාගෙන	sitaːɡenə
සිතාබැලිය	sitaːbælijə
සිතාය	sitaːjə
සිතැඟි	sitæᵑɡi
සිතැඟියාවන්	sitæᵑɡijaːwan
සිතිණි	sitini
සිතිනි	sitini
සිතින්	sitin
සිතින්ම	sitinmə
සිතින්මය	sitinməjə
සිතිය	sitijə
සිතියම	sitijəmə
සිතියමක්	sitijəmak
සිතියමේ	sitijəmeː
සිතියම්	sitijam
සිතිවිලි	sitiwili
සිතිවිල්ල	sitiwillə
සිතිවිල්ලක්	sitiwillak
සිතිවිල්ලයි	sitiwillaj
සිතීම	sitiːmə
සිතීමට	sitiːməʈə
සිතීමේ	sitiːmeː
සිතු	situ
සිතුණා	situnaː
සිතුණි	situni
සිතුණේ	situne
සිතුනා	situna
සිතුනි	situni
සිතුමි	situmi
සිතුම්	situm
සිතුල්පව්ව	situlpawwə
සිතුවත්	situwat
සිතුවම	situwəmə
සිතුවමක්	situwəmak
සිතුවමේ	situwəmeː
සිතුවම්	situwam
සිතුවා	situwa
සිතුවාද	situwaːdə
සිතුවිලි	situwili
සිතුවිල්ල	situwillə
සිතුවිල්ලක්	situwillak
සිතුවිළි	situwili
සිතුවෙමි	situwemi
සිතුවේ	situweː
සිතුවේය	situweːjə
සිතූ	situː
සිතෙන	sitenə
සිතෙනවා	sitenəwa
සිතෙනු	sitenu
සිතෙන්	siten
සිතෙන්නේ	sitenne
සිතෙයි	sitej
සිතෙහි	sitehi
සිතේ	siteː
සිත්	sit
සිත්ගත්	sitɡat
සිත්ගන්නා	sitɡannaː
සිත්ගන්නාසුලු	sitɡannaːsulu
සිත්ගන්නාසුළු	sitɡannaːsulu
සිත්තම	sittəmə
සිත්තමකි	sittəməki
සිත්තමක්	sittəmak
සිත්තම්	sittam
සිත්තරාණන්	sittəraːnan
සිත්වල	sitwələ
සිත්වලට	sitwələʈə
සිත්හි	sithi
සිදට්	sidəʈ
සිදත්	sidat
සිදු	sidu
සිදුකර	sidukərə
සිදුකරන	sidukərənə
සිදුකරනවා	sidukərənəwa
සිදුකරනු	sidukərənu
සිදුකරනුයේ	sidukərənujeː
සිදුකරන්නේ	sidukəranne
සිදුකරමින්	sidukərəmin
සිදුකරයි	sidukəraj
සිදුකල	sidukələ
සිදුකළ	sidukələ
සිදුකළා	sidukəlaː
සිදුකළේ	sidukəleː
සිදුකැර	sidukærə
සිදුකිරීම	sidukiriːmə
සිදුකිරීමට	sidukiriːməʈə
සිදුකෙරිණි	sidukerini
සිදුකෙරුණා	sidukeruna
සිදුකෙරෙන	sidukerenə
සිදුකෙරේ	sidukereː
සිදුකොට	sidukoʈə
සිදුනොවන	sidunowənə
සිදුනොවේ	sidunoweː
සිදුර	sidurə
සිදුරු	siduru
සිදුව	siduwə
සිදුවන	siduwənə
සිදුවනවා	siduwənəwa
සිදුවනු	siduwənu
සිදුවනුයේ	siduwənujeː
සිදුවන්නකි	siduwannəki
සිදුවන්නක්	siduwannak
සිදුවන්නට	siduwannəʈə
සිදුවන්නෙ	siduwanne
සිදුවන්නේ	siduwanneː
සිදුවන්නේද	siduwanneːdə
සිදුවන්නේය	siduwanneːjə
සිදුවිණි	siduwini
සිදුවිම්	siduwim
සිදුවිය	siduwijə
සිදුවී	siduwiː
සිදුවීම	siduwiːmə
සිදුවීමකට	siduwiːməkəʈə
සිදුවීමකි	siduwiːməki
සිදුවීමක්	siduwiːmak
සිදුවීමට	siduwiːməʈə
සිදුවීමත්	siduwiːmat
සිදුවීමය	siduwiːməjə
සිදුවීමයි	siduwiːmaj
සිදුවීමෙන්	siduwiːmen
සිදුවීමේ	siduwiːmeː
සිදුවීම්	siduwiːm
සිදුවීම්වලට	siduwiːmwələʈə
සිදුවු	siduu
සිදුවු	siduwu
සිදුවුණ	siduwunə
සිදුවුණා	siduunaː
සිදුවුණු	siduunu
සිදුවුණේ	siduuneː
සිදුවුන	siduunə
සිදුවුන	siduwunə
සිදුවුනා	siduunaː
සිදුවුනා	siduwunaː
සිදුවුනු	siduunu
සිදුවුනේ	siduuneː
සිදුවුයේ	siduuːjeː
සිදුවුවහොත්	siduuwəhot
සිදුවුවහොත්	siduwuwəhot
සිදුවූ	siduwuː
සිදුවූයේ	siduuːjeː
සිදුවූවක්	siduuːwak
සිදුවෙද්දී	siduweddi
සිදුවෙන	siduwenə
සිදුවෙනවා	siduwenəwa
සිදුවෙන්න	siduwennə
සිදුවෙන්නෙ	siduwenne
සිදුවෙන්නේ	siduwenne
සිදුවෙමින්	siduwemin
සිදුවෙයි	siduwej
සිදුවෙයිද	siduwejdə
සිදුවෙලා	siduwelaː
සිදුවේ	siduweː
සිදුවේද	siduweːdə
සිදුවේදැයි	siduweːdæj
සිදුවේවි	siduweːwi
සිදුහත්	siduhat
සිද්ද	siddə
සිද්දි	siddi
සිද්දිය	siddijə
සිද්දියක්	siddijak
සිද්දීන්	siddiːn
සිද්ධ	siddə
සිද්ධවෙන	siddəwenə
සිද්ධවෙනවා	siddəwenəwa
සිද්ධවෙන්නේ	siddəwenne
සිද්ධස්ථාන	siddastaːnə
සිද්ධස්ථානය	siddastaːnəjə
සිද්ධස්ථානයකි	siddastaːnəjəki
සිද්ධස්ථානයක්	siddastaːnəjak
සිද්ධාන්ත	siddaːntə
සිද්ධාන්තය	siddaːntəjə
සිද්ධාර්ත	siddaːrtə
සිද්ධාර්ත්	siddaːrt
සිද්ධාර්ථ	siddaːrtə
සිද්ධි	siddi
සිද්ධිය	siddijə
සිද්ධියකට	siddijəkəʈə
සිද්ධියකි	siddijəki
සිද්ධියකින්	siddijəkin
සිද්ධියක්	siddijak
සිද්ධියට	siddijəʈə
සිද්ධියත්	siddijat
සිද්ධියෙන්	siddijen
සිද්ධියේ	siddijeː
සිද්ධියේදී	siddijeːdiː
සිද්ධීන්	siddiːn
සිනමන්	sinəmən
සිනමා	sinəmaː
සිනමාකරණය	sinəmaːkərənəjə
සිනමාකරු	sinəmaːkaru
සිනමාකරුවකු	sinəmaːkaruwəku
සිනමාකරුවන්	sinəmaːkaruwan
සිනමාකරුවා	sinəmaːkaruwa
සිනමාකෘති	sinəmaːkruti
සිනමාත්මක	sinəmaːtməkə
සිනමාපට	sinəmaːpaʈə
සිනමාපටය	sinəmaːpaʈəjə
සිනමාපටයක්	sinəmaːpaʈəjak
සිනමාපටයට	sinəmaːpaʈəjəʈə
සිනමාපටයේ	sinəmaːpaʈəjeː
සිනමාරූපී	sinəmaːruːpiː
සිනමාව	sinəmaːwə
සිනමාවක්	sinəmaːwak
සිනමාවට	sinəmaːwəʈə
සිනමාවත්	sinəmaːwat
සිනමාවෙ	sinəmaːwe
සිනමාවෙත්	sinəmaːwet
සිනමාවෙන්	sinəmaːwen
සිනමාවේ	sinəmaːweː
සිනමාවේදී	sinəmaːweːdiː
සිනමාශාලා	sinamaːʃaːlaː
සිනමාස්	sinəmaːs
සිනමාහල්	sinəmaːhal
සිනමාහල්වල	sinəmaːhalwələ
සිනහ	sinaha
සිනහව	sinahawə
සිනහව	sinəhawə
සිනහවකින්	sinahawəkin
සිනහවක්	sinahawak
සිනහවෙන්	sinahawen
සිනහවෙන්	sinəhawen
සිනහා	sinaha
සිනා	sinaː
සිනාමුසු	sinaːmusu
සිනාව	sinaːwə
සිනාසී	sinaːsiː
සිනාසෙති	sinaːseti
සිනාසෙන	sinaːsenə
සිනාසෙමින්	sinaːsemin
සිනාසෙයි	sinaːsej
සිනි	sini
සිනිඳු	siniⁿdu
සින්	sin
සින්ක්	sink
සින්ග්	siŋ
සින්ඩරෙල්ලා	sinɖərellaː
සින්ඩි	sinɖi
සින්දු	sindu
සින්දු	siŋdu
සින්දුව	sinduwə
සින්දුවක්	sinduwak
සින්දුවට	sinduwəʈə
සින්දුවේ	sinduweː
සින්න	sinnə
සින්බෑඩ්	sinbæːɖ
සින්හල	siŋhələ
සින්හලයන්	sinhələjan
සින්හලයා	sinhələja
සින්හලයො	sinhələjo
සින්හලෙන්	siŋhəlen
සිඳ	siⁿdə
සිඳගත්	siⁿdəɡat
සිඳින	siⁿdinə
සිඳී	siⁿdiː
සිඳීම	siⁿdiːmə
සිඳු	siⁿdu
සිඳෙන	siⁿdenə
සිප	sipə
සිපයි	sipaj
සිප්	sip
සිප්පි	sippi
සිමා	simaː
සිමාව	simaːwə
සිමෙන්ති	simenti
සිමෙන්තියෙ	simentije
සිම්	sim
සිම්පල්	simpəl
සිඹ	siᵐbə
සිඹින	siᵐbinə
සිය	sijə
සියක්	sijak
සියතට	sijətəʈə
සියදිවි	sijədiwi
සියනෑ	sijənæː
සියනෑවේ	sijənæːwe
සියපත්	sijəpat
සියම්	sijam
සියඹලා	sijəᵐbəlaː
සියඹලාණ්ඩුව	sijəᵐbəlaːnɖuwə
සියඹලාපිටිය	sijəᵐbəlaːpiʈijə
සියය	sijəjə
සියයක	sijəjəkə
සියයකට	sijəjəkəʈə
සියයක්	sijəjak
සියයක්ම	sijəjakmə
සියයට	sijəjəʈə
සියයයි	sijəjaj
සියයේ	sijəjeː
සියලු	sijəlu
සියලුදෙනා	sijəludena
සියලුදෙනාටම	sijəludenaːʈəmə
සියලුදෙනාම	sijəludenaːmə
සියලුම	sijəlumə
සියලූ	sijəluː
සියලූදෙනා	sijəluːdenaː
සියලූම	sijəluːmə
සියල්ල	sijallə
සියල්ලක්ම	sijallakmə
සියල්ලට	sijalləʈə
සියල්ලටම	sijalləʈəmə
සියල්ලන්	sijallan
සියල්ලන්ගේ	sijallanɡe
සියල්ලන්ගේම	sijallanɡeːmə
සියල්ලන්ට	sijallanʈə
සියල්ලන්ටම	sijallanʈəmə
සියල්ලන්ටමය	sijallanʈəməjə
සියල්ලන්ම	sijallanmə
සියල්ලම	sijalləmə
සියල්ලෙන්	sijallen
සියල්ලෙන්ම	sijallenmə
සියල්ලෙහි	sijallehi
සියල්ලේ	sijalleː
සියල්ලේම	sijalleːmə
සියල්ලෝ	sijalloː
සියල්ලෝම	sijalloːmə
සියවස	sijəwasə
සියවසට	sijəwasəʈə
සියවසෙහි	sijəwasehi
සියවසේ	sijəwaseː
සියවසේදී	sijəwaseːdiː
සියවස්	sijəwas
සියවෙනි	sijəweni
සියළු	sijəlu
සියළුදෙනා	sijəludenaː
සියළුම	sijəlumə
සියා	sija
සියැසින්	sijæsin
සියෑසින්	sijæːsin
සියුමැලි	sijumæli
සියුම්	sijum
සියුම්ව	sijumwə
සියොළඟ	sijolaᵑɡə
සිර	sirə
සිරකඳවුරු	sirəkaⁿdəuru
සිරකර	sirəkərə
සිරකරු	sirəkaru
සිරකරුවන්	sirəkaruwan
සිරකරුවෝ	sirəkaruwo
සිරගත	sirəɡatə
සිරගතව	sirəɡatəwə
සිරගෙදර	sirəɡedərə
සිරදඬුවම්	sirədaⁿɖuwam
සිරබත්	sirəbat
සිරභාරයට	sirəbaːrəjəʈə
සිරවී	sirəwiː
සිරස	sirəsə
සිරසට	sirəsəʈə
සිරසෙ	sirəse
සිරසේ	sirəseː
සිරා	siraː
සිරාගේ	siraːɡeː
සිරාජ්	siraːɟ
සිරාම	siraːmə
සිරාවට	siraːwəʈə
සිරාවටම	siraːwəʈəmə
සිරැසි	siræsi
සිරැසිත්	siræsit
සිරැසියට	siræsijəʈə
සිරි	siri
සිරිකත	sirikatə
සිරිකොත	sirikotə
සිරිත	siritə
සිරිතකි	siritəki
සිරිතක්	siritak
සිරිතට	siritəʈə
සිරිතය	siritəjə
සිරිතයි	siritaj
සිරිත්	sirit
සිරිත්විරිත්	siritwirit
සිරිදම්ම	siridammə
සිරිධම්ම	siridammə
සිරිපා	siripaː
සිරිපාදේ	siripaːdeː
සිරිපාල	siripaːlə
සිරිපැරකුම්	siripærəkum
සිරිමල්	sirimal
සිරිමා	sirimaː
සිරිමාන්න	sirimaːnnə
සිරිමාවෝ	sirimaːwoː
සිරිය	sirijə
සිරියස්	siːrijəs
සිරියහන්	sirijahan
සිරියා	sirija
සිරියානු	sirijaːnu
සිරියාව	sirijaːwə
සිරියාවට	sirijaːwəʈə
සිරියාවෙ	sirijaːwe
සිරියාවේ	sirijaːweː
සිරිලක	sirilakə
සිරිලිය	sirilijə
සිරිල්	siril
සිරිවර්දන	siriwardənə
සිරිවර්ධන	siriwardənə
සිරිසඟබෝ	sirisaᵑɡəboː
සිරිසේන	siriseːnə
සිරිසේනගේ	siriseːnəɡeː
සිරිසේනට	siriseːnəʈə
සිරිස්	siːriːs
සිරුර	sirurə
සිරුරකට	sirurəkəʈə
සිරුරක්	sirurak
සිරුරට	sirurəʈə
සිරුරින්	sirurin
සිරුරු	siruru
සිරුරෙන්	siruren
සිරුරෙහි	sirurehi
සිරුරේ	sirureː
සිරෝ	siroː
සිලිකන්	silikən
සිලෝන්	siloːn
සිල්	sil
සිල්පද	silpadə
සිල්පදය	silpadəjə
සිල්බිඳ	silbiⁿdə
සිල්ලර	sillərə
සිල්ව	silwa
සිල්වතුන්	silwətun
සිල්වත්	silwat
සිල්වා	silwa
සිල්වාගේ	silwaɡe
සිල්වාට	silwaːʈə
සිවදාසන්	siwədaːsən
සිවාජිලිංගම්	siwaːɟiliŋɡəm
සිවිලයිස්ඩ්	siwilajsɖ
සිවිල්	siwil
සිවු	siu
සිවුපා	siupaː
සිවුර	siwrə
සිවුරක්	siurak
සිවුරට	siwrəʈə
සිවුරු	siuru
සිවුරේ	siure
සිව්	siw
සිව්පිළිසිඹියාවෝද	siwpilisiᵐbijaːwoːdə
සිව්වන	siuwənə
සිව්වැනි	siuwæni
සිව්වැන්න	siuwænnə
සිසන්	sisən
සිසාරා	sisaːraː
සිසිර	sisirə
සිසිල	sisilə
සිසිලස	sisiləsə
සිසිලසකි	sisiləsəki
සිසිල්	sisil
සිසු	sisu
සිසුනට	sisunəʈə
සිසුන්	sisun
සිසුන්ගෙන්	sisunɡen
සිසුන්ගේ	sisunɡeː
සිසුන්ට	sisunʈə
සිසුවකු	sisuwəku
